Variable Name,Schedule,Line,Column,Column Description,Variable / Line Description,Rev_Exp_Staff_Other,Category,Include,
slc.74.1445.04,74,1445,4,- n.a. -,Environmental services : Solid waste disposal,,,,
slc.74.1445.05,74,1445,5,- n.a. -,Environmental services : Solid waste disposal,,,,
slc.74.1445.06,74,1445,6,- n.a. -,Environmental services : Solid waste disposal,,,,
slc.74.1445.07,74,1445,7,- n.a. -,Environmental services : Solid waste disposal,,,,
slc.74.1445.08,74,1445,8,- n.a. -,Environmental services : Solid waste disposal,,,,
slc.74.1446.01,74,1446,1,$,Environmental services : Waste diversion,,,,
slc.74.1446.02,74,1446,2,- n.a. -,Environmental services : Waste diversion,,,,
slc.74.1446.03,74,1446,3,- n.a. -,Environmental services : Waste diversion,,,,
slc.74.1446.04,74,1446,4,- n.a. -,Environmental services : Waste diversion,,,,
slc.74.1446.05,74,1446,5,- n.a. -,Environmental services : Waste diversion,,,,
slc.74.1446.06,74,1446,6,- n.a. -,Environmental services : Waste diversion,,,,
slc.74.1446.07,74,1446,7,- n.a. -,Environmental services : Waste diversion,,,,
slc.74.1446.08,74,1446,8,- n.a. -,Environmental services : Waste diversion,,,,
slc.74.1450.01,74,1450,1,$,Health services,,,,
slc.74.1450.02,74,1450,2,- n.a. -,Health services,,,,
slc.74.1450.03,74,1450,3,- n.a. -,Health services,,,,
slc.74.1450.04,74,1450,4,- n.a. -,Health services,,,,
slc.74.1450.05,74,1450,5,- n.a. -,Health services,,,,
slc.74.1450.06,74,1450,6,- n.a. -,Health services,,,,
slc.74.1450.07,74,1450,7,- n.a. -,Health services,,,,
slc.74.1450.08,74,1450,8,- n.a. -,Health services,,,,
slc.74.1455.01,74,1455,1,$,Social and family services,,,,
slc.74.1455.02,74,1455,2,- n.a. -,Social and family services,,,,
slc.74.1455.03,74,1455,3,- n.a. -,Social and family services,,,,
slc.74.1455.04,74,1455,4,- n.a. -,Social and family services,,,,
slc.74.1455.05,74,1455,5,- n.a. -,Social and family services,,,,
slc.74.1455.06,74,1455,6,- n.a. -,Social and family services,,,,
slc.74.1455.07,74,1455,7,- n.a. -,Social and family services,,,,
slc.74.1455.08,74,1455,8,- n.a. -,Social and family services,,,,
slc.74.1460.01,74,1460,1,$,Social Housing,,,,
slc.74.1460.02,74,1460,2,- n.a. -,Social Housing,,,,
slc.74.1460.03,74,1460,3,- n.a. -,Social Housing,,,,
slc.74.1460.04,74,1460,4,- n.a. -,Social Housing,,,,
slc.74.1460.05,74,1460,5,- n.a. -,Social Housing,,,,
slc.74.1460.06,74,1460,6,- n.a. -,Social Housing,,,,
slc.74.1460.07,74,1460,7,- n.a. -,Social Housing,,,,
slc.74.1460.08,74,1460,8,- n.a. -,Social Housing,,,,
slc.74.1465.01,74,1465,1,$,Recreation and cultural services : Parks,,,,
slc.74.1465.02,74,1465,2,- n.a. -,Recreation and cultural services : Parks,,,,
slc.74.1465.03,74,1465,3,- n.a. -,Recreation and cultural services : Parks,,,,
slc.74.1465.04,74,1465,4,- n.a. -,Recreation and cultural services : Parks,,,,
slc.74.1465.05,74,1465,5,- n.a. -,Recreation and cultural services : Parks,,,,
slc.74.1465.06,74,1465,6,- n.a. -,Recreation and cultural services : Parks,,,,
slc.74.1465.07,74,1465,7,- n.a. -,Recreation and cultural services : Parks,,,,
slc.74.1465.08,74,1465,8,- n.a. -,Recreation and cultural services : Parks,,,,
slc.74.1466.01,74,1466,1,$,Recreation and cultural services : Recreation programs,,,,
slc.74.1466.02,74,1466,2,- n.a. -,Recreation and cultural services : Recreation programs,,,,
slc.74.1466.03,74,1466,3,- n.a. -,Recreation and cultural services : Recreation programs,,,,
slc.74.1466.04,74,1466,4,- n.a. -,Recreation and cultural services : Recreation programs,,,,
slc.74.1466.05,74,1466,5,- n.a. -,Recreation and cultural services : Recreation programs,,,,
slc.74.1466.06,74,1466,6,- n.a. -,Recreation and cultural services : Recreation programs,,,,
slc.74.1466.07,74,1466,7,- n.a. -,Recreation and cultural services : Recreation programs,,,,
slc.74.1466.08,74,1466,8,- n.a. -,Recreation and cultural services : Recreation programs,,,,
slc.74.1471.01,74,1471,1,$,"Recreation and cultural services : Recreation facilities - Golf Course, Marina, Ski Hill",,,,
slc.74.1471.02,74,1471,2,- n.a. -,"Recreation and cultural services : Recreation facilities - Golf Course, Marina, Ski Hill",,,,
slc.74.1471.03,74,1471,3,- n.a. -,"Recreation and cultural services : Recreation facilities - Golf Course, Marina, Ski Hill",,,,
slc.74.1471.04,74,1471,4,- n.a. -,"Recreation and cultural services : Recreation facilities - Golf Course, Marina, Ski Hill",,,,
slc.74.1471.05,74,1471,5,- n.a. -,"Recreation and cultural services : Recreation facilities - Golf Course, Marina, Ski Hill",,,,
slc.74.1471.06,74,1471,6,- n.a. -,"Recreation and cultural services : Recreation facilities - Golf Course, Marina, Ski Hill",,,,
slc.74.1471.07,74,1471,7,- n.a. -,"Recreation and cultural services : Recreation facilities - Golf Course, Marina, Ski Hill",,,,
slc.74.1471.08,74,1471,8,- n.a. -,"Recreation and cultural services : Recreation facilities - Golf Course, Marina, Ski Hill",,,,
slc.74.1474.01,74,1474,1,$,Recreation and cultural services : Recreation facilities - Other,,,,
slc.74.1474.02,74,1474,2,- n.a. -,Recreation and cultural services : Recreation facilities - Other,,,,
slc.74.1474.03,74,1474,3,- n.a. -,Recreation and cultural services : Recreation facilities - Other,,,,
slc.74.1474.04,74,1474,4,- n.a. -,Recreation and cultural services : Recreation facilities - Other,,,,
slc.74.1474.05,74,1474,5,- n.a. -,Recreation and cultural services : Recreation facilities - Other,,,,
slc.74.1474.06,74,1474,6,- n.a. -,Recreation and cultural services : Recreation facilities - Other,,,,
slc.74.1474.07,74,1474,7,- n.a. -,Recreation and cultural services : Recreation facilities - Other,,,,
slc.74.1474.08,74,1474,8,- n.a. -,Recreation and cultural services : Recreation facilities - Other,,,,
slc.74.1475.01,74,1475,1,$,Recreation and cultural services : Libraries,,,,
slc.74.1475.02,74,1475,2,- n.a. -,Recreation and cultural services : Libraries,,,,
slc.74.1475.03,74,1475,3,- n.a. -,Recreation and cultural services : Libraries,,,,
slc.74.1475.04,74,1475,4,- n.a. -,Recreation and cultural services : Libraries,,,,
slc.74.1475.05,74,1475,5,- n.a. -,Recreation and cultural services : Libraries,,,,
slc.74.1475.06,74,1475,6,- n.a. -,Recreation and cultural services : Libraries,,,,
slc.74.1475.07,74,1475,7,- n.a. -,Recreation and cultural services : Libraries,,,,
slc.74.1475.08,74,1475,8,- n.a. -,Recreation and cultural services : Libraries,,,,
slc.74.1476.01,74,1476,1,$,Recreation and cultural services : Museums,,,,
slc.74.1476.02,74,1476,2,- n.a. -,Recreation and cultural services : Museums,,,,
slc.74.1476.03,74,1476,3,- n.a. -,Recreation and cultural services : Museums,,,,
slc.74.1476.04,74,1476,4,- n.a. -,Recreation and cultural services : Museums,,,,
slc.74.1476.05,74,1476,5,- n.a. -,Recreation and cultural services : Museums,,,,
slc.74.1476.06,74,1476,6,- n.a. -,Recreation and cultural services : Museums,,,,
slc.74.1476.07,74,1476,7,- n.a. -,Recreation and cultural services : Museums,,,,
slc.74.1476.08,74,1476,8,- n.a. -,Recreation and cultural services : Museums,,,,
slc.74.1477.01,74,1477,1,$,Recreation and cultural services : Culture services,,,,
slc.74.1477.02,74,1477,2,- n.a. -,Recreation and cultural services : Culture services,,,,
slc.74.1477.03,74,1477,3,- n.a. -,Recreation and cultural services : Culture services,,,,
slc.74.1477.04,74,1477,4,- n.a. -,Recreation and cultural services : Culture services,,,,
slc.74.1477.05,74,1477,5,- n.a. -,Recreation and cultural services : Culture services,,,,
slc.74.1477.06,74,1477,6,- n.a. -,Recreation and cultural services : Culture services,,,,
slc.74.1477.07,74,1477,7,- n.a. -,Recreation and cultural services : Culture services,,,,
slc.74.1477.08,74,1477,8,- n.a. -,Recreation and cultural services : Culture services,,,,
slc.74.1480.01,74,1480,1,$,Planning and development,,,,
slc.74.1480.02,74,1480,2,- n.a. -,Planning and development,,,,
slc.74.1480.03,74,1480,3,- n.a. -,Planning and development,,,,
slc.74.1480.04,74,1480,4,- n.a. -,Planning and development,,,,
slc.74.1480.05,74,1480,5,- n.a. -,Planning and development,,,,
slc.74.1480.06,74,1480,6,- n.a. -,Planning and development,,,,
slc.74.1480.07,74,1480,7,- n.a. -,Planning and development,,,,
slc.74.1480.08,74,1480,8,- n.a. -,Planning and development,,,,
slc.74.1490.01,74,1490,1,$,Other long term liabilities,,,,
slc.74.1490.02,74,1490,2,- n.a. -,Other long term liabilities,,,,
slc.74.1490.03,74,1490,3,- n.a. -,Other long term liabilities,,,,
slc.74.1490.04,74,1490,4,- n.a. -,Other long term liabilities,,,,
slc.74.1490.05,74,1490,5,- n.a. -,Other long term liabilities,,,,
slc.74.1490.06,74,1490,6,- n.a. -,Other long term liabilities,,,,
slc.74.1490.07,74,1490,7,- n.a. -,Other long term liabilities,,,,
slc.74.1490.08,74,1490,8,- n.a. -,Other long term liabilities,,,,
slc.74.1610.01,74,1610,1,$,U.S. dollars - Canadian dollar equivalent included in SLC 74 9910 01,,,,
slc.74.1610.02,74,1610,2,- n.a. -,U.S. dollars - Canadian dollar equivalent included in SLC 74 9910 01,,,,
slc.74.1610.03,74,1610,3,- n.a. -,U.S. dollars - Canadian dollar equivalent included in SLC 74 9910 01,,,,
slc.74.1610.04,74,1610,4,- n.a. -,U.S. dollars - Canadian dollar equivalent included in SLC 74 9910 01,,,,
slc.74.1610.05,74,1610,5,- n.a. -,U.S. dollars - Canadian dollar equivalent included in SLC 74 9910 01,,,,
slc.74.1610.06,74,1610,6,- n.a. -,U.S. dollars - Canadian dollar equivalent included in SLC 74 9910 01,,,,
slc.74.1610.07,74,1610,7,- n.a. -,U.S. dollars - Canadian dollar equivalent included in SLC 74 9910 01,,,,
slc.74.1610.08,74,1610,8,- n.a. -,U.S. dollars - Canadian dollar equivalent included in SLC 74 9910 01,,,,
slc.74.1620.01,74,1620,1,$,U.S. dollars - par value in 'U.S. dollars',,,,
slc.74.1620.02,74,1620,2,- n.a. -,U.S. dollars - par value in 'U.S. dollars',,,,
slc.74.1620.03,74,1620,3,- n.a. -,U.S. dollars - par value in 'U.S. dollars',,,,
slc.74.1620.04,74,1620,4,- n.a. -,U.S. dollars - par value in 'U.S. dollars',,,,
slc.74.1620.05,74,1620,5,- n.a. -,U.S. dollars - par value in 'U.S. dollars',,,,
slc.74.1620.06,74,1620,6,- n.a. -,U.S. dollars - par value in 'U.S. dollars',,,,
slc.74.1620.07,74,1620,7,- n.a. -,U.S. dollars - par value in 'U.S. dollars',,,,
slc.74.1620.08,74,1620,8,- n.a. -,U.S. dollars - par value in 'U.S. dollars',,,,
slc.74.1630.01,74,1630,1,$,Other currency - Canadian dollar equivalent included in SLC 74 9910 01,,,,
slc.74.1630.02,74,1630,2,- n.a. -,Other currency - Canadian dollar equivalent included in SLC 74 9910 01,,,,
slc.74.1630.03,74,1630,3,- n.a. -,Other currency - Canadian dollar equivalent included in SLC 74 9910 01,,,,
slc.74.1630.04,74,1630,4,- n.a. -,Other currency - Canadian dollar equivalent included in SLC 74 9910 01,,,,
slc.74.1630.05,74,1630,5,- n.a. -,Other currency - Canadian dollar equivalent included in SLC 74 9910 01,,,,
slc.74.1630.06,74,1630,6,- n.a. -,Other currency - Canadian dollar equivalent included in SLC 74 9910 01,,,,
slc.74.1630.07,74,1630,7,- n.a. -,Other currency - Canadian dollar equivalent included in SLC 74 9910 01,,,,
slc.74.1630.08,74,1630,8,- n.a. -,Other currency - Canadian dollar equivalent included in SLC 74 9910 01,,,,
slc.74.1640.01,74,1640,1,$,Other currency - par value in:  Please specify currency,,,,
slc.74.1640.02,74,1640,2,- n.a. -,Other currency - par value in:  Please specify currency,,,,
slc.74.1640.03,74,1640,3,- n.a. -,Other currency - par value in:  Please specify currency,,,,
slc.74.1640.04,74,1640,4,- n.a. -,Other currency - par value in:  Please specify currency,,,,
slc.74.1640.05,74,1640,5,- n.a. -,Other currency - par value in:  Please specify currency,,,,
slc.74.1640.06,74,1640,6,- n.a. -,Other currency - par value in:  Please specify currency,,,,
slc.74.1640.07,74,1640,7,- n.a. -,Other currency - par value in:  Please specify currency,,,,
slc.74.1640.08,74,1640,8,- n.a. -,Other currency - par value in:  Please specify currency,,,,
slc.74.1650.01,74,1650,1,$,Other currency - Canadian dollar equivalent included in SLC 74 9910 01,,,,
slc.74.1650.02,74,1650,2,- n.a. -,Other currency - Canadian dollar equivalent included in SLC 74 9910 01,,,,
slc.74.1650.03,74,1650,3,- n.a. -,Other currency - Canadian dollar equivalent included in SLC 74 9910 01,,,,
slc.74.1650.04,74,1650,4,- n.a. -,Other currency - Canadian dollar equivalent included in SLC 74 9910 01,,,,
slc.74.1650.05,74,1650,5,- n.a. -,Other currency - Canadian dollar equivalent included in SLC 74 9910 01,,,,
slc.74.1650.06,74,1650,6,- n.a. -,Other currency - Canadian dollar equivalent included in SLC 74 9910 01,,,,
slc.74.1650.07,74,1650,7,- n.a. -,Other currency - Canadian dollar equivalent included in SLC 74 9910 01,,,,
slc.74.1650.08,74,1650,8,- n.a. -,Other currency - Canadian dollar equivalent included in SLC 74 9910 01,,,,
slc.74.1660.01,74,1660,1,$,Other currency - par value in:  Please specify currency,,,,
slc.74.1660.02,74,1660,2,- n.a. -,Other currency - par value in:  Please specify currency,,,,
slc.74.1660.03,74,1660,3,- n.a. -,Other currency - par value in:  Please specify currency,,,,
slc.74.1660.04,74,1660,4,- n.a. -,Other currency - par value in:  Please specify currency,,,,
slc.74.1660.05,74,1660,5,- n.a. -,Other currency - par value in:  Please specify currency,,,,
slc.74.1660.06,74,1660,6,- n.a. -,Other currency - par value in:  Please specify currency,,,,
slc.74.1660.07,74,1660,7,- n.a. -,Other currency - par value in:  Please specify currency,,,,
slc.74.1660.08,74,1660,8,- n.a. -,Other currency - par value in:  Please specify currency,,,,
slc.74.1810.01,74,1810,1,$,Own funds,,,,
slc.74.1810.02,74,1810,2,- n.a. -,Own funds,,,,
slc.74.1810.03,74,1810,3,- n.a. -,Own funds,,,,
slc.74.1810.04,74,1810,4,- n.a. -,Own funds,,,,
slc.74.1810.05,74,1810,5,- n.a. -,Own funds,,,,
slc.74.1810.06,74,1810,6,- n.a. -,Own funds,,,,
slc.74.1810.07,74,1810,7,- n.a. -,Own funds,,,,
slc.74.1810.08,74,1810,8,- n.a. -,Own funds,,,,
slc.74.1820.01,74,1820,1,$,Ontario Clean Water Agency : Sewer,,,,
slc.74.1820.02,74,1820,2,- n.a. -,Ontario Clean Water Agency : Sewer,,,,
slc.74.1820.03,74,1820,3,- n.a. -,Ontario Clean Water Agency : Sewer,,,,
slc.74.1820.04,74,1820,4,- n.a. -,Ontario Clean Water Agency : Sewer,,,,
slc.74.1820.05,74,1820,5,- n.a. -,Ontario Clean Water Agency : Sewer,,,,
slc.74.1820.06,74,1820,6,- n.a. -,Ontario Clean Water Agency : Sewer,,,,
slc.74.1820.07,74,1820,7,- n.a. -,Ontario Clean Water Agency : Sewer,,,,
slc.74.1820.08,74,1820,8,- n.a. -,Ontario Clean Water Agency : Sewer,,,,
slc.74.1830.01,74,1830,1,$,Ontario Clean Water Agency : Water,,,,
slc.74.1830.02,74,1830,2,- n.a. -,Ontario Clean Water Agency : Water,,,,
slc.74.1830.03,74,1830,3,- n.a. -,Ontario Clean Water Agency : Water,,,,
slc.74.1830.04,74,1830,4,- n.a. -,Ontario Clean Water Agency : Water,,,,
slc.74.1830.05,74,1830,5,- n.a. -,Ontario Clean Water Agency : Water,,,,
slc.74.1830.06,74,1830,6,- n.a. -,Ontario Clean Water Agency : Water,,,,
slc.74.1830.07,74,1830,7,- n.a. -,Ontario Clean Water Agency : Water,,,,
slc.74.1830.08,74,1830,8,- n.a. -,Ontario Clean Water Agency : Water,,,,
slc.74.2010.01,74,2010,1,$,Value of own sinking fund debentures issued and outstanding at year end,,,,
slc.74.2010.02,74,2010,2,- n.a. -,Value of own sinking fund debentures issued and outstanding at year end,,,,
slc.74.2010.03,74,2010,3,- n.a. -,Value of own sinking fund debentures issued and outstanding at year end,,,,
slc.74.2010.04,74,2010,4,- n.a. -,Value of own sinking fund debentures issued and outstanding at year end,,,,
slc.74.2010.05,74,2010,5,- n.a. -,Value of own sinking fund debentures issued and outstanding at year end,,,,
slc.74.2010.06,74,2010,6,- n.a. -,Value of own sinking fund debentures issued and outstanding at year end,,,,
slc.74.2010.07,74,2010,7,- n.a. -,Value of own sinking fund debentures issued and outstanding at year end,,,,
slc.74.2010.08,74,2010,8,- n.a. -,Value of own sinking fund debentures issued and outstanding at year end,,,,
slc.74.2110.01,74,2110,1,$,Balance of own sinking funds at year end: Total contributions to own sinking funds,,,,
slc.74.2110.02,74,2110,2,- n.a. -,Balance of own sinking funds at year end: Total contributions to own sinking funds,,,,
slc.74.2110.03,74,2110,3,- n.a. -,Balance of own sinking funds at year end: Total contributions to own sinking funds,,,,
slc.74.2110.04,74,2110,4,- n.a. -,Balance of own sinking funds at year end: Total contributions to own sinking funds,,,,
slc.74.2110.05,74,2110,5,- n.a. -,Balance of own sinking funds at year end: Total contributions to own sinking funds,,,,
slc.74.2110.06,74,2110,6,- n.a. -,Balance of own sinking funds at year end: Total contributions to own sinking funds,,,,
slc.74.2110.07,74,2110,7,- n.a. -,Balance of own sinking funds at year end: Total contributions to own sinking funds,,,,
slc.74.2110.08,74,2110,8,- n.a. -,Balance of own sinking funds at year end: Total contributions to own sinking funds,,,,
slc.74.2120.01,74,2120,1,$,Balance of own sinking funds at year end: Total income earned from investments of sinking funds' monies,,,,
slc.74.2120.02,74,2120,2,- n.a. -,Balance of own sinking funds at year end: Total income earned from investments of sinking funds' monies,,,,
slc.74.2120.03,74,2120,3,- n.a. -,Balance of own sinking funds at year end: Total income earned from investments of sinking funds' monies,,,,
slc.74.2120.04,74,2120,4,- n.a. -,Balance of own sinking funds at year end: Total income earned from investments of sinking funds' monies,,,,
slc.74.2120.05,74,2120,5,- n.a. -,Balance of own sinking funds at year end: Total income earned from investments of sinking funds' monies,,,,
slc.74.2120.06,74,2120,6,- n.a. -,Balance of own sinking funds at year end: Total income earned from investments of sinking funds' monies,,,,
slc.74.2120.07,74,2120,7,- n.a. -,Balance of own sinking funds at year end: Total income earned from investments of sinking funds' monies,,,,
slc.74.2120.08,74,2120,8,- n.a. -,Balance of own sinking funds at year end: Total income earned from investments of sinking funds' monies,,,,
slc.74.2199.01,74,2199,1,$,Subtotal,,,,
slc.74.2199.02,74,2199,2,- n.a. -,Subtotal,,,,
slc.74.2199.03,74,2199,3,- n.a. -,Subtotal,,,,
slc.74.2199.04,74,2199,4,- n.a. -,Subtotal,,,,
slc.74.2199.05,74,2199,5,- n.a. -,Subtotal,,,,
slc.74.2199.06,74,2199,6,- n.a. -,Subtotal,,,,
slc.74.2199.07,74,2199,7,- n.a. -,Subtotal,,,,
slc.74.2199.08,74,2199,8,- n.a. -,Subtotal,,,,
slc.74.2210.01,74,2210,1,$,Estimated total future contributions from this municipality required to meet obligations in line 2010 above,,,,
slc.74.2210.02,74,2210,2,- n.a. -,Estimated total future contributions from this municipality required to meet obligations in line 2010 above,,,,
slc.74.2210.03,74,2210,3,- n.a. -,Estimated total future contributions from this municipality required to meet obligations in line 2010 above,,,,
slc.74.2210.04,74,2210,4,- n.a. -,Estimated total future contributions from this municipality required to meet obligations in line 2010 above,,,,
slc.74.2210.05,74,2210,5,- n.a. -,Estimated total future contributions from this municipality required to meet obligations in line 2010 above,,,,
slc.74.2210.06,74,2210,6,- n.a. -,Estimated total future contributions from this municipality required to meet obligations in line 2010 above,,,,
slc.74.2210.07,74,2210,7,- n.a. -,Estimated total future contributions from this municipality required to meet obligations in line 2010 above,,,,
slc.74.2210.08,74,2210,8,- n.a. -,Estimated total future contributions from this municipality required to meet obligations in line 2010 above,,,,
slc.74.2220.01,74,2220,1,$,Estimated total future income earned from investments in lines 2199 and 2210 above,,,,
slc.74.2220.02,74,2220,2,- n.a. -,Estimated total future income earned from investments in lines 2199 and 2210 above,,,,
slc.74.2220.03,74,2220,3,- n.a. -,Estimated total future income earned from investments in lines 2199 and 2210 above,,,,
slc.74.2220.04,74,2220,4,- n.a. -,Estimated total future income earned from investments in lines 2199 and 2210 above,,,,
slc.74.2220.05,74,2220,5,- n.a. -,Estimated total future income earned from investments in lines 2199 and 2210 above,,,,
slc.74.2220.06,74,2220,6,- n.a. -,Estimated total future income earned from investments in lines 2199 and 2210 above,,,,
slc.74.2220.07,74,2220,7,- n.a. -,Estimated total future income earned from investments in lines 2199 and 2210 above,,,,
slc.74.2220.08,74,2220,8,- n.a. -,Estimated total future income earned from investments in lines 2199 and 2210 above,,,,
slc.74.2410.01,74,2410,1,$,Hospital support,,,,
slc.74.2410.02,74,2410,2,- n.a. -,Hospital support,,,,
slc.74.2410.03,74,2410,3,- n.a. -,Hospital support,,,,
slc.74.2410.04,74,2410,4,- n.a. -,Hospital support,,,,
slc.74.2410.05,74,2410,5,- n.a. -,Hospital support,,,,
slc.74.2410.06,74,2410,6,- n.a. -,Hospital support,,,,
slc.74.2410.07,74,2410,7,- n.a. -,Hospital support,,,,
slc.74.2410.08,74,2410,8,- n.a. -,Hospital support,,,,
slc.74.2420.01,74,2420,1,$,University support,,,,
slc.74.2420.02,74,2420,2,- n.a. -,University support,,,,
slc.74.2420.03,74,2420,3,- n.a. -,University support,,,,
slc.74.2420.04,74,2420,4,- n.a. -,University support,,,,
slc.74.2420.05,74,2420,5,- n.a. -,University support,,,,
slc.74.2420.06,74,2420,6,- n.a. -,University support,,,,
slc.74.2420.07,74,2420,7,- n.a. -,University support,,,,
slc.74.2420.08,74,2420,8,- n.a. -,University support,,,,
slc.74.2430.01,74,2430,1,$,Leases and other agreements,,,,
slc.74.2430.02,74,2430,2,- n.a. -,Leases and other agreements,,,,
slc.74.2430.03,74,2430,3,- n.a. -,Leases and other agreements,,,,
slc.74.2430.04,74,2430,4,- n.a. -,Leases and other agreements,,,,
slc.74.2430.05,74,2430,5,- n.a. -,Leases and other agreements,,,,
slc.74.2430.06,74,2430,6,- n.a. -,Leases and other agreements,,,,
slc.74.2430.07,74,2430,7,- n.a. -,Leases and other agreements,,,,
slc.74.2430.08,74,2430,8,- n.a. -,Leases and other agreements,,,,
slc.74.2440.01,74,2440,1,$,"Capital equipment, land acquisition",,,,
slc.74.2440.02,74,2440,2,- n.a. -,"Capital equipment, land acquisition",,,,
slc.74.2440.03,74,2440,3,- n.a. -,"Capital equipment, land acquisition",,,,
slc.74.2440.04,74,2440,4,- n.a. -,"Capital equipment, land acquisition",,,,
slc.74.2440.05,74,2440,5,- n.a. -,"Capital equipment, land acquisition",,,,
slc.74.2440.06,74,2440,6,- n.a. -,"Capital equipment, land acquisition",,,,
slc.74.2440.07,74,2440,7,- n.a. -,"Capital equipment, land acquisition",,,,
slc.74.2440.08,74,2440,8,- n.a. -,"Capital equipment, land acquisition",,,,
slc.74.2496.01,74,2496,1,$,Please specify,,,,
slc.74.2496.02,74,2496,2,- n.a. -,Please specify,,,,
slc.74.2496.03,74,2496,3,- n.a. -,Please specify,,,,
slc.74.2496.04,74,2496,4,- n.a. -,Please specify,,,,
slc.74.2496.05,74,2496,5,- n.a. -,Please specify,,,,
slc.74.2496.06,74,2496,6,- n.a. -,Please specify,,,,
slc.74.2496.07,74,2496,7,- n.a. -,Please specify,,,,
slc.74.2496.08,74,2496,8,- n.a. -,Please specify,,,,
slc.74.2497.01,74,2497,1,$,Please specify,,,,
slc.74.2497.02,74,2497,2,- n.a. -,Please specify,,,,
slc.74.2497.03,74,2497,3,- n.a. -,Please specify,,,,
slc.74.2497.04,74,2497,4,- n.a. -,Please specify,,,,
slc.74.2497.05,74,2497,5,- n.a. -,Please specify,,,,
slc.74.2497.06,74,2497,6,- n.a. -,Please specify,,,,
slc.74.2497.07,74,2497,7,- n.a. -,Please specify,,,,
slc.74.2497.08,74,2497,8,- n.a. -,Please specify,,,,
slc.74.2498.01,74,2498,1,$,Please specify,,,,
slc.74.2498.02,74,2498,2,- n.a. -,Please specify,,,,
slc.74.2498.03,74,2498,3,- n.a. -,Please specify,,,,
slc.74.2498.04,74,2498,4,- n.a. -,Please specify,,,,
slc.74.2498.05,74,2498,5,- n.a. -,Please specify,,,,
slc.74.2498.06,74,2498,6,- n.a. -,Please specify,,,,
slc.74.2498.07,74,2498,7,- n.a. -,Please specify,,,,
slc.74.2498.08,74,2498,8,- n.a. -,Please specify,,,,
slc.74.2499.01,74,2499,1,$,TOTAL,,,,
slc.74.2499.02,74,2499,2,- n.a. -,TOTAL,,,,
slc.74.2499.03,74,2499,3,- n.a. -,TOTAL,,,,
slc.74.2499.04,74,2499,4,- n.a. -,TOTAL,,,,
slc.74.2499.05,74,2499,5,- n.a. -,TOTAL,,,,
slc.74.2499.06,74,2499,6,- n.a. -,TOTAL,,,,
slc.74.2499.07,74,2499,7,- n.a. -,TOTAL,,,,
slc.74.2499.08,74,2499,8,- n.a. -,TOTAL,,,,
slc.74.2610.01,74,2610,1,Is Value in Column 2 Estimated? Y or N,Pending or threatened litigation,,,,
slc.74.2610.02,74,2610,2,Value,Pending or threatened litigation,,,,
slc.74.2610.03,74,2610,3,Number of Years Payable Over,Pending or threatened litigation,,,,
slc.74.2610.04,74,2610,4,Contingent Liabilities - Y or N,Pending or threatened litigation,,,,
slc.74.2610.05,74,2610,5,- n.a. -,Pending or threatened litigation,,,,
slc.74.2610.06,74,2610,6,- n.a. -,Pending or threatened litigation,,,,
slc.74.2610.07,74,2610,7,- n.a. -,Pending or threatened litigation,,,,
slc.74.2610.08,74,2610,8,- n.a. -,Pending or threatened litigation,,,,
slc.74.2620.01,74,2620,1,Is Value in Column 2 Estimated? Y or N,Retroactive wage settlements,,,,
slc.74.2620.02,74,2620,2,Value,Retroactive wage settlements,,,,
slc.74.2620.03,74,2620,3,Number of Years Payable Over,Retroactive wage settlements,,,,
slc.74.2620.04,74,2620,4,Contingent Liabilities - Y or N,Retroactive wage settlements,,,,
slc.74.2620.05,74,2620,5,- n.a. -,Retroactive wage settlements,,,,
slc.74.2620.06,74,2620,6,- n.a. -,Retroactive wage settlements,,,,
slc.74.2620.07,74,2620,7,- n.a. -,Retroactive wage settlements,,,,
slc.74.2620.08,74,2620,8,- n.a. -,Retroactive wage settlements,,,,
slc.74.2630.01,74,2630,1,Is Value in Column 2 Estimated? Y or N,Guarantees of long term indebtedness in the name of the municipality but assumed by others,,,,
slc.74.2630.02,74,2630,2,Value,Guarantees of long term indebtedness in the name of the municipality but assumed by others,,,,
slc.74.2630.03,74,2630,3,Number of Years Payable Over,Guarantees of long term indebtedness in the name of the municipality but assumed by others,,,,
slc.74.2630.04,74,2630,4,Contingent Liabilities - Y or N,Guarantees of long term indebtedness in the name of the municipality but assumed by others,,,,
slc.74.2630.05,74,2630,5,- n.a. -,Guarantees of long term indebtedness in the name of the municipality but assumed by others,,,,
slc.74.2630.06,74,2630,6,- n.a. -,Guarantees of long term indebtedness in the name of the municipality but assumed by others,,,,
slc.74.2630.07,74,2630,7,- n.a. -,Guarantees of long term indebtedness in the name of the municipality but assumed by others,,,,
slc.74.2630.08,74,2630,8,- n.a. -,Guarantees of long term indebtedness in the name of the municipality but assumed by others,,,,
slc.74.2640.01,74,2640,1,Is Value in Column 2 Estimated? Y or N,Outstanding loans guaranteed,,,,
slc.74.2640.02,74,2640,2,Value,Outstanding loans guaranteed,,,,
slc.74.2640.03,74,2640,3,Number of Years Payable Over,Outstanding loans guaranteed,,,,
slc.74.2640.04,74,2640,4,Contingent Liabilities - Y or N,Outstanding loans guaranteed,,,,
slc.74.2640.05,74,2640,5,- n.a. -,Outstanding loans guaranteed,,,,
